Time Stamp,T_comp1_dis (K),T_comp2_dis (K),P_cond (Pa),P_evap (Pa),T_comp_suc (K),target_eta,target_eta2,h_comp_suc (j/kg),h_comp1_dis (j/kg),h_comp2_dis (j/kg),h_isen (j/kg),eta_isentropic_1,eta_isentropic_2,eta1_condition,eta2_condition,comp1_mech_power,comp2_mech_power,m_comp1,m_comp2,m_total,T_evap_ex (K),T_subcooling (K),h_evap_ex (j/kg),h_evap_in (j/kg),cooling_load (KW),Total_electric_power (KW),COP
2024-07-27 10:47:00,324.0,325.0,1880000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,4.4509879499593294,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:49:00,333.75,328.0,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.1734005430734642,2.1890446028772432,True,True,0.0,0.0,0.0,0.0,0.0,297.9666666666667,305.0,444539.62273433106,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:49:00,320.0,278.0,1880000.0,1550000.0,303.0,0.75,0,436969.9954181494,449348.60726963845,438545.00444890035,438151.2521912126,0.09542724073064122,-0.005145640810835808,False,True,0.0,0.0,0.0,0.0,0.0,300.4,304.5,446393.04613412154,430477.40837859886,0.0,0.045,0.0
2024-07-27 10:49:00,327.0,327.0,1904999.9999999998,1190000.0,304.25,0.75,0,451625.89060031873,461182.85021100636,461182.85021100636,458793.61030833446,0.9072579275493541,1.215745905265902,True,True,0.0,0.0,0.0,0.0,0.0,298.26666666666665,305.0,444844.5609413326,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:49:00,324.0,325.0,1880000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,4.746184291166857,4.4509879499593294,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:50:00,333.0,327.75,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.2652949123976065,2.269057907154008,True,True,0.0,0.0,0.0,0.0,0.0,298.075,305.0,444649.7772708016,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:50:00,320.0,278.0,1880000.0,1550000.0,303.75,0.75,0,451132.1602041874,433824.28285355435,433824.28285355435,438151.2521912126,7.278117605327865,0.05326009274842397,True,True,0.0,0.0,-0.0,-0.0,-0.0,300.4,305.0,446393.04613412154,429365.9434484627,-0.0,0.045,-0.0
2024-07-27 10:50:00,327.0,326.25,1904999.9999999998,1230000.0,305.0,0.75,0,451613.0018721039,460684.3202264971,460684.3202264971,458416.4906378988,0.8597526043095317,1.4193475698012026,True,True,0.0,0.0,0.0,0.0,0.0,298.3,305.0,444878.4227419678,429365.9434484627,0.0,0.0,0.0
2024-07-27 10:50:00,323.0,325.0,1855000.0,950000.0,304.0,0.75,0,451379.09561826853,475155.8522437082,475155.8522437082,469211.6630873483,6.340775753402023,4.4509879499593294,True,True,0.0,0.0,0.0,0.0,0.0,302.0,304.0,448017.6856604928,429755.6433147915,0.0,0.0,0.0
2024-07-27 10:52:00,333.0,327.75,1880000.0,920000.0,305.0,0.75,0,451613.0018721039,475509.357920507,475509.357920507,469535.26890840626,1.2652949123976065,2.269057907154008,True,True,0.0,0.0,0.0,0.0,0.0,298.25,305.0,444827.6285329643,429365.9434484627,0.0,0.0,0.0
